Company name,Role(s) relevant to me / that I should target,Salary (range or best estimate),ATS-friendliness score,CV fit score,Listing source,Glassdoor rating
Nanonets,"Product Analyst; Product Manager, AI automation",INR 10L-22L CTC est. (Bengaluru product/AI startup range),92,91,Company Greenhouse board lists Product Analyst - Bangalore and Product Manager - Bengaluru; verified live via search result + board content: https://job-boards.greenhouse.io/nanonets,4.2 overall; 4.0 Bengaluru
Libra AI / Libra MLI,Associate Product Manager (AI); AI PM Intern,INR 5L-12L CTC; AI PM Intern INR 40K-50K/mo employer-provided,94,95,"Ashby listing and Glassdoor jobs both show Associate Product Manager (AI), Bengaluru, full-time/on-site, Easy Apply: https://jobs.ashbyhq.com/libra/f267e673-e06d-4025-bf65-9bb84881ffda",4.8 culture; review examples 5.0; jobs page shows active APM/AI PM openings
Lyzr AI,"Associate Product Manager, Applied/Agentic AI",INR 6L-12L CTC est.,88,90,Company careers page shows Associate Product Manager in Bengaluru; search result says published 2 months ago and role page is live: https://careers.lyzr.ai/jobs/572370-associate-product-manager,3.8
Intuit,"Product Manager 2, Virtual Expert Platform - Expert Management",INR 28L-50L CTC est.,78,74,"Official Intuit careers page lists Bangalore, Product Management, Job ID 22155, Apply Now; also appears in Bengaluru PM search: https://jobs.intuit.com/job/bengaluru/product-manager-2-virtual-expert-platform-expert-management/27595/95975533568",4.2
Amazon,"Product Manager, Amazon Now; Senior PM-Tech, GenAI/DP&R as stretch roles",INR 25L-55L CTC est.,73,70,"Official Amazon.jobs page lists Product Manager, Amazon Now, ASSPL - Karnataka, Apply now; second check: Amazon search results show current Bangalore PM-Tech listings updated recently: https://www.amazon.jobs/en/jobs/10441689/product-manager-amazon-now",3.5
Salesforce,"Senior Product Manager / Director - Product Management, Industries and Apps (stretch); Product Manager, Digital Success alerts",INR 35L-75L CTC est.,67,63,"Official Salesforce careers page lists India - Bangalore/Hyderabad, Product, full-time, posted 25 May 2026, Apply Now: https://careers.salesforce.com/en/jobs/jr341839/senior-product-manager-migration-solutions-architect-and-program-manager-cpq/",4.1
Google,"Product Data Scientist, Analytics, Insights and Measurement; Engineering/Trust analyst roles with product partners",INR 35L-80L CTC est.,76,73,Official Google Careers listing is live for Product Data Scientist with SQL/Python/product analytics requirements; search results also show active Google analyst/product-adjacent openings: https://careers.google.com/jobs/results/107502932689068742-product-data-scientist/,4.4
Chevron,"AI Product Manager, ENGINE Bengaluru",INR 28L-55L CTC est.,82,78,"Official Chevron careers page lists AI Product Manager, Bengaluru, R000068615, apply now; page describes AI products, data science, engineering and platform collaboration: https://careers.chevron.com/job/bengaluru/ai-product-manager/38138/91149965040",3.6
DocuSign,"Product Manager, Bengaluru",INR 25L-48L CTC est.,78,74,"Official DocuSign careers listing shows Product Manager in Bengaluru, India and is indexed as active: https://careers.docusign.com/careers-home/jobs/29169INR lang=en-us",3.6
eBay,Data Science Analyst - Search / Product Analytics; Sr Product Manager (AI/prototyping stretch),INR 18L-42L analyst; INR 35L-65L PM est.,84,82,"Official eBay jobs page lists Data Science Analyst - Search, Bengaluru, and mentions Product Analyst/Search Product Analytics; Sr Product Manager Bengaluru also indexed: https://jobs.ebayinc.com/us/en/job/R0073010/Data-Science-Analyst-Search",3.9
JPMorganChase,Senior AI Product Manager (stretch); AI/product analyst roles in Bengaluru,INR 28L-65L CTC est.,70,66,"Official Oracle Cloud careers page lists Executive Director - Senior AI Product Manager, Bengaluru, Apply Now: https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210681293",3.9
Harness,"Senior Product Manager, Code / DevOps AI; Product Management roles",INR 30L-60L CTC est.,69,65,Harness careers page shows Product Management openings; third-party indexed listing shows Senior Product Manager in Bangalore and current remote Senior PM Code posting: https://www.harness.io/company/jobs,3.8
Databricks,"Staff Product Operations Manager, Bengaluru; Product/AI analytics-adjacent roles",INR 30L-65L CTC est.,72,68,Databricks careers page is live; Bengaluru product-operations role appears in job indexes and company open-position search: https://www.databricks.com/company/careers/open-positions,4.0
Zscaler,"Manager, Product Support; Global Escalation Specialist/Product Support path",INR 18L-35L CTC est.,76,71,"Greenhouse board lists Bangalore/Mohali openings including Manager, Product Support and Global Escalation Specialist, marked New/active: https://job-boards.greenhouse.io/zscaler/jobs/5088251007",3.7 est. positive; company generally above poor-review cutoff
Infor,"SCS Product Support Analyst, Associate",INR 6L-12L CTC est.,83,79,"Indeed/current job index lists SCS Product Support Analyst, Associate in Bengaluru; company careers should be checked before applying: https://careers.infor.com/",3.9
Talview,"Product Analyst Intern / Product Analyst, AI hiring assessment platform",INR 25K-50K/mo intern; INR 6L-12L CTC analyst est.,90,88,Current job index lists Product Analyst Intern in Bengaluru; Talview careers/company pages should be used for final apply confirmation: https://www.talview.com/careers,4.0 overall; 4.2 Bangalore
ProArch,"Product Analyst / Technical Product Analyst, cloud/AI services",INR 8L-16L CTC est.,80,76,Indeed/current job index lists Product Analyst in Bengaluru; company careers page for confirmation/application: https://www.proarch.com/careers/,4.0 overall; 4.2 Hyderabad
NetApp,"Technical Outbound Product Manager, Bengaluru; entry-level product/support programs as backup",INR 24L-50L CTC est.,76,72,"Official NetApp careers page lists Technical Outbound Product Manager, Bengaluru, with Product Managers/Engineering/Product Marketing collaboration: https://careers.netapp.com/job/bengaluru/technical-outbound-product-manager/27600/92602350976",4.0 est. positive
PayPal,"Lead Product Manager / Product Manager alerts, India technology centers",INR 28L-60L CTC est.,72,68,PayPal India careers page confirms Bangalore product/analytics/operations hiring; job index shows Lead Product Manager in Bangalore posted 3 weeks ago: https://careers.pypl.com/locations/india/,3.8 est. positive
Visa,"Product Analyst, Data Products; Product Manager/Data product roles",INR 20L-45L CTC est.,82,79,Visa Workday careers search is live with Bengaluru openings; Product Analyst/Data Products indexed with SaaS/BI/product-management requirements: https://visa.wd5.myworkdayjobs.com/Visa,4.0 est. positive
